,PETR4.SA.OPEN,PETR4.SA.HIGH,PETR4.SA.LOW,PETR4.SA.CLOSE,PETR4.SA.VOLUME,PETR4.SA.ADJUSTED,FECHAMENTO,
2016-11-10,17.10,17.18,15.50,15.50,94683900,14.869930,BAIXA,
2016-11-11,15.18,15.46,13.94,14.01,129811400,13.440498,BAIXA,
2016-11-14,13.80,14.18,13.33,14.00,86623000,13.430905,BAIXA,
2016-11-16,14.55,14.96,14.18,14.74,77406600,14.140824,BAIXA,
2016-11-17,15.15,15.32,14.29,14.29,51535300,13.709118,BAIXA,
2016-11-18,14.37,14.69,14.21,14.52,55041300,13.929769,BAIXA,
2016-11-21,15.05,15.58,14.88,15.58,59122000,14.946680,ALTA,
2016-11-22,15.93,16.08,15.25,15.93,58636100,15.282453,ESTAVEL,
2016-11-23,15.72,15.99,15.53,15.85,42490100,15.205705,ALTA,
2016-11-24,15.90,15.90,15.58,15.58,14725000,14.946680,BAIXA,
2016-11-25,15.25,15.52,15.05,15.30,47630600,14.678061,ALTA,
2016-11-28,15.20,15.56,15.20,15.46,38747500,14.831558,ALTA,
2016-11-29,15.30,15.38,14.59,14.66,54075900,14.064076,ALTA,
2016-11-30,15.90,16.19,15.61,16.00,82547300,15.349607,ALTA,
2016-12-01,16.00,16.35,15.33,15.44,66775400,14.812369,BAIXA,
2016-12-02,15.12,15.91,14.75,15.83,58381500,15.186516,ALTA,
2016-12-05,16.01,16.09,15.55,15.66,47586500,15.023427,BAIXA,
2016-12-06,16.00,16.20,15.74,16.15,63916700,15.493510,ALTA,
2016-12-07,16.30,16.33,15.77,15.86,50247400,15.215297,BAIXA,
2016-12-08,15.97,16.00,15.52,15.70,41104800,15.061801,BAIXA,
2016-12-09,15.88,15.90,15.52,15.58,37161200,14.946680,BAIXA,
2016-12-12,15.79,15.95,15.48,15.60,35436700,14.965867,BAIXA,
2016-12-13,15.55,15.69,15.38,15.45,33455000,14.821963,BAIXA,
2016-12-14,15.43,15.47,14.74,14.74,44215700,14.140824,BAIXA,
2016-12-15,14.78,14.91,14.33,14.85,43338800,14.246354,BAIXA,
2016-12-16,14.90,15.14,14.76,14.76,37876200,14.160012,BAIXA,
2016-12-19,14.88,14.89,14.35,14.36,39128600,13.776272,BAIXA,
2016-12-20,14.46,14.59,14.10,14.35,31810000,13.766679,BAIXA,
2016-12-21,14.45,14.48,14.04,14.34,32856800,13.757086,BAIXA,
2016-12-22,14.46,14.46,14.01,14.01,42240500,13.440498,BAIXA,
2016-12-23,14.05,14.35,14.01,14.24,21776900,13.661149,ALTA,
2016-12-26,14.32,14.45,14.27,14.42,5734300,13.833833,ALTA,
2016-12-27,14.50,14.55,14.26,14.41,14949200,13.824240,BAIXA,
2016-12-28,14.43,14.81,14.36,14.78,18979900,14.179199,BAIXA,
2016-12-29,14.85,14.88,14.52,14.87,18090600,14.265540,ALTA,
