,PETR4.SA.OPEN,PETR4.SA.HIGH,PETR4.SA.LOW,PETR4.SA.CLOSE,PETR4.SA.VOLUME,PETR4.SA.ADJUSTED,FECHAMENTO
2015-09-02,8.75,8.84,8.33,8.82,56050600,8.461471,ALTA
2015-09-03,8.93,9.21,8.54,8.76,56645400,8.403911,BAIXA
2015-09-04,8.60,8.76,8.51,8.51,35463400,8.164072,BAIXA
2015-09-08,8.70,8.79,8.58,8.64,29383000,8.288788,BAIXA
2015-09-09,8.81,8.90,8.36,8.39,38706300,8.048950,BAIXA
2015-09-10,7.90,8.15,7.81,7.97,62858700,7.646022,ALTA
2015-09-11,7.94,7.99,7.59,7.66,53647300,7.348624,BAIXA
2015-09-14,7.70,7.82,7.46,7.72,52851400,7.406185,ALTA
2015-09-15,7.65,7.87,7.54,7.65,35102900,7.339030,ESTAVEL
2015-09-16,7.77,8.24,7.74,8.14,66613400,7.809113,BAIXA
2015-09-17,8.05,8.11,7.86,7.86,72887600,7.540494,BAIXA
2015-09-18,7.75,7.76,7.50,7.60,68097000,7.291063,BAIXA
2015-09-21,7.66,7.68,7.30,7.30,41063600,7.003258,BAIXA
2015-09-22,7.24,7.24,6.81,6.97,66720700,6.686672,BAIXA
2015-09-23,6.96,7.16,6.70,6.82,64774800,6.542770,BAIXA
2015-09-24,6.61,7.14,6.60,6.96,56577300,6.677079,ALTA
2015-09-25,7.12,7.22,6.77,6.82,44843100,6.542770,BAIXA
2015-09-28,6.74,6.75,6.44,6.44,37466900,6.178216,BAIXA
2015-09-29,6.54,6.79,6.50,6.59,52387600,6.322120,ALTA
2015-09-30,7.25,7.26,6.97,7.24,107779500,6.945697,BAIXA
2015-10-01,7.31,7.46,6.99,7.02,69296500,6.734640,BAIXA
2015-10-02,6.99,7.83,6.90,7.77,88891400,7.454153,ALTA
2015-10-05,7.90,8.14,7.75,7.82,68350300,7.502120,BAIXA
2015-10-06,7.86,8.34,7.84,8.19,81259300,7.857079,BAIXA
2015-10-07,8.51,8.90,8.27,8.47,116610600,8.125697,BAIXA
2015-10-08,8.46,8.84,8.28,8.75,68670000,8.394317,ALTA
2015-10-09,9.02,9.07,8.58,8.80,71885200,8.442283,BAIXA
2015-10-13,8.36,8.47,8.07,8.13,56100600,7.799519,BAIXA
2015-10-14,8.07,8.23,7.89,7.96,75339100,7.636429,BAIXA
2015-10-15,8.00,8.07,7.67,8.00,61444100,7.674803,ESTAVEL
2015-10-16,7.99,8.08,7.81,7.95,42963800,7.626836,ALTA
2015-10-19,7.90,7.96,7.76,7.95,40096200,7.626836,ALTA
2015-10-20,8.00,8.19,7.97,8.05,47938700,7.722771,ALTA
2015-10-21,7.95,8.06,7.71,7.75,45394400,7.434965,BAIXA
2015-10-22,7.82,8.11,7.81,8.02,46174500,7.693990,ALTA
2015-10-23,8.26,8.28,7.94,7.99,45715300,7.665209,BAIXA
2015-10-26,8.05,8.13,7.80,7.85,35069500,7.530900,ALTA
2015-10-27,7.86,7.86,7.55,7.60,44085700,7.291063,BAIXA
2015-10-28,7.87,7.95,7.86,7.95,4630900,7.626836,ALTA
2015-10-29,7.57,7.93,7.57,7.61,41336300,7.300656,ALTA
2015-10-30,7.60,7.78,7.54,7.71,36951300,7.396591,ALTA
2015-11-03,7.84,8.48,7.77,8.48,60306200,8.135290,BAIXA
2015-11-04,8.58,8.65,8.02,8.08,55661500,7.751551,BAIXA
2015-11-05,8.08,8.17,7.87,8.11,92690300,7.780332,ALTA
2015-11-06,8.04,8.08,7.73,7.82,39680600,7.502120,BAIXA
2015-11-09,7.83,7.93,7.59,7.91,36340400,7.588461,ALTA
2015-11-10,7.60,7.69,7.51,7.61,34554300,7.300656,BAIXA
2015-11-11,7.71,7.83,7.64,7.72,44596400,7.406185,ALTA
2015-11-12,7.72,7.74,7.53,7.58,41641400,7.271876,BAIXA
2015-11-13,7.50,7.56,7.23,7.27,67000600,6.974477,BAIXA
2015-11-16,7.31,7.70,7.31,7.70,56587800,7.386998,ALTA
2015-11-17,7.80,7.86,7.64,7.76,52072800,7.444560,BAIXA
2015-11-18,7.81,8.03,7.79,7.82,38137700,7.502120,ALTA
2015-11-19,7.96,7.98,7.62,7.84,51878600,7.521307,BAIXA
2015-11-23,7.90,8.10,7.85,8.08,47415800,7.751551,ALTA
2015-11-24,8.05,8.50,7.95,8.50,63001700,8.154479,ALTA
2015-11-25,8.28,8.35,7.90,7.90,54732800,7.578868,BAIXA
2015-11-26,7.95,8.04,7.82,7.92,21697100,7.598056,BAIXA
2015-11-27,7.81,7.86,7.57,7.60,38334200,7.291063,BAIXA
2015-11-30,7.54,7.84,7.42,7.67,72764300,7.358218,ALTA
2015-12-01,7.67,7.76,7.45,7.49,35865600,7.185534,BAIXA
2015-12-02,7.54,7.59,7.35,7.52,47713500,7.214315,BAIXA
2015-12-03,7.99,8.17,7.79,7.98,76680900,7.655616,BAIXA
2015-12-04,7.97,7.97,7.42,7.52,63662600,7.214315,BAIXA
2015-12-07,7.60,7.61,7.15,7.19,47395000,6.897729,BAIXA
2015-12-08,7.20,7.20,6.95,7.13,46590500,6.840168,BAIXA
2015-12-09,7.34,7.82,7.27,7.65,82102800,7.339030,ALTA
2015-12-10,7.51,7.57,7.31,7.45,43458400,7.147161,BAIXA
2015-12-11,7.26,7.53,7.21,7.25,50750600,6.955290,BAIXA
2015-12-14,7.15,7.23,7.07,7.21,33538000,6.916916,ALTA
2015-12-15,7.34,7.47,7.30,7.42,34188900,7.118380,ALTA
2015-12-16,7.28,7.36,7.09,7.29,39840300,6.993664,ALTA
2015-12-17,7.35,7.52,7.19,7.20,43789300,6.907323,BAIXA
2015-12-18,7.02,7.10,6.92,7.02,60061600,6.734640,ESTAVEL
2015-12-21,7.06,7.09,6.62,6.64,54032100,6.370087,BAIXA
2015-12-22,6.76,6.82,6.62,6.79,40463400,6.513989,ALTA
2015-12-23,6.91,7.04,6.87,6.93,38789700,6.648298,ALTA
2015-12-28,6.90,6.90,6.65,6.70,28617600,6.427648,BAIXA
2015-12-29,6.81,6.87,6.68,6.69,22441300,6.418054,BAIXA
2015-12-30,6.66,6.76,6.52,6.70,30041600,6.427648,ALTA
